x,y
607,989
613,989
619,989
605,988
611,988
618,988
624,988
772,988
604,987
612,987
618,987
625,987
756,987
763,987
769,987
775,987
781,987
788,987
794,987
800,987
806,987
822,987
828,987
544,986
550,986
556,986
563,986
569,986
575,986
581,986
588,986
597,986
603,986
609,986
616,986
622,986
628,986
638,986
645,986
751,986
757,986
763,986
770,986
776,986
782,986
788,986
795,986
801,986
807,986
813,986
819,986
826,986
832,986
543,985
549,985
558,985
567,985
575,985
583,985
590,985
596,985
603,985
609,985
616,985
622,985
628,985
635,985
649,985
752,985
758,985
764,985
771,985
777,985
783,985
789,985
795,985
802,985
809,985
817,985
823,985
830,985
539,984
545,984
551,984
558,984
564,984
570,984
576,984
583,984
589,984
595,984
601,984
608,984
614,984
620,984
626,984
633,984
639,984
645,984
651,984
687,984
754,984
760,984
766,984
772,984
779,984
785,984
791,984
797,984
804,984
810,984
816,984
822,984
829,984
406,983
412,983
540,983
547,983
553,983
559,983
565,983
571,983
578,983
584,983
590,983
596,983
603,983
609,983
615,983
621,983
628,983
634,983
640,983
646,983
654,983
660,983
666,983
673,983
680,983
686,983
692,983
698,983
754,983
760,983
766,983
772,983
778,983
785,983
791,983
797,983
803,983
810,983
816,983
822,983
828,983
397,982
403,982
409,982
415,982
539,982
545,982
551,982
557,982
564,982
570,982
576,982
582,982
589,982
595,982
601,982
607,982
613,982
620,982
626,982
632,982
638,982
645,982
651,982
657,982
663,982
670,982
676,982
682,982
688,982
695,982
701,982
754,982
760,982
767,982
773,982
779,982
785,982
792,982
798,982
804,982
810,982
816,982
823,982
829,982
387,981
393,981
400,981
407,981
414,981
431,981
438,981
540,981
546,981
552,981
559,981
565,981
571,981
577,981
584,981
590,981
596,981
602,981
608,981
615,981
621,981
627,981
633,981
640,981
646,981
652,981
658,981
665,981
672,981
678,981
684,981
691,981
697,981
750,981
756,981
763,981
769,981
775,981
781,981
788,981
794,981
800,981
806,981
812,981
819,981
825,981
831,981
386,980
393,980
399,980
405,980
411,980
418,980
424,980
430,980
436,980
443,980
541,980
547,980
553,980
560,980
566,980
572,980
578,980
585,980
591,980
597,980
603,980
609,980
616,980
622,980
628,980
634,980
641,980
647,980
653,980
659,980
666,980
672,980
678,980
684,980
691,980
697,980
748,980
754,980
761,980
767,980
773,980
779,980
786,980
792,980
798,980
804,980
810,980
817,980
823,980
829,980
384,979
393,979
399,979
405,979
411,979
418,979
433,979
442,979
448,979
455,979
540,979
546,979
552,979
559,979
565,979
571,979
577,979
583,979
590,979
596,979
602,979
608,979
615,979
621,979
627,979
633,979
640,979
646,979
652,979
658,979
665,979
671,979
677,979
683,979
690,979
696,979
702,979
753,979
760,979
766,979
772,979
778,979
784,979
791,979
797,979
803,979
809,979
816,979
822,979
828,979
382,978
389,978
395,978
401,978
407,978
414,978
420,978
428,978
434,978
441,978
447,978
453,978
459,978
466,978
472,978
537,978
543,978
549,978
556,978
562,978
568,978
574,978
581,978
587,978
593,978
599,978
606,978
612,978
618,978
624,978
631,978
637,978
643,978
649,978
656,978
662,978
668,978
674,978
681,978
687,978
693,978
699,978
752,978
759,978
765,978
771,978
777,978
784,978
790,978
796,978
802,978
809,978
815,978
821,978
827,978
383,977
389,977
395,977
401,977
408,977
414,977
420,977
426,977
432,977
439,977
445,977
451,977
462,977
547,977
564,977
570,977
576,977
583,977
589,977
595,977
601,977
608,977
614,977
620,977
626,977
633,977
639,977
645,977
651,977
658,977
664,977
670,977
676,977
682,977
689,977
695,977
701,977
758,977
765,977
771,977
777,977
783,977
790,977
796,977
802,977
808,977
815,977
821,977
827,977
382,976
389,976
395,976
401,976
407,976
414,976
420,976
426,976
432,976
438,976
445,976
451,976
457,976
463,976
470,976
476,976
564,976
576,976
583,976
589,976
601,976
607,976
614,976
620,976
626,976
632,976
639,976
645,976
651,976
657,976
664,976
670,976
676,976
682,976
688,976
695,976
701,976
760,976
767,976
774,976
780,976
786,976
792,976
799,976
805,976
811,976
820,976
382,975
388,975
394,975
400,975
407,975
413,975
419,975
425,975
431,975
438,975
444,975
450,975
456,975
463,975
469,975
475,975
565,975
572,975
578,975
587,975
593,975
600,975
607,975
613,975
619,975
626,975
632,975
638,975
644,975
651,975
657,975
663,975
669,975
675,975
682,975
688,975
694,975
700,975
763,975
769,975
775,975
781,975
788,975
794,975
800,975
806,975
813,975
819,975
825,975
987,975
994,975
1000,975
1006,975
1012,975
382,974
388,974
394,974
400,974
406,974
413,974
419,974
425,974
431,974
438,974
444,974
450,974
456,974
463,974
469,974
475,974
569,974
579,974
587,974
593,974
605,974
612,974
618,974
624,974
630,974
637,974
643,974
649,974
655,974
661,974
668,974
674,974
680,974
686,974
693,974
699,974
763,974
771,974
778,974
786,974
792,974
798,974
805,974
813,974
819,974
961,974
968,974
974,974
